T1 phirad
0.001 5.295
0.002 5.285
0.005 5.303
0.01 5.358
0.02 5.431
0.05 5.552
0.1 5.694
0.2 6.073
0.5 7.512
1 9.813
2 13.35
3 15.92
4 17.90
5 19.50
6 20.81
8 22.91
10 24.53
15 27.42
20 29.39
30 32.02
40 33.75
50 35.01
60 35.97
80 37.39
100 38.40
200 41.01
500 43.26
1000 44.37
2000 45.10
5000 45.68
10000 45.93
